FechaContable,FechaTransaccion,HoraTransaccion,Empresa,Paradero,StrParadero,Linea,StrLinea,Bus,TipoValidacion,RutaSae,StrRutaSae,Cenefa
2020-11-15,2020-11-15,05:04:29,105,50986,066B05_TM|066B05_Br. Los Laureles,320,C101,504354,Transbordo,3192,,066B05
2020-11-15,2020-11-15,05:04:36,105,27715,044A05_GM|044A05 - Av. Gonzalo Ariza,234,626B,504059,Transbordo,2154,,044A05
2020-11-15,2020-11-15,05:04:46,105,52443,110B05_TM|110B05_Br. Sabana del Dorado,1103,SE10,502018,Transbordo,4885,,110B05
2020-11-15,2020-11-15,05:04:54,105,50986,066B05_TM|066B05_Br. Los Laureles,320,C101,504354,Transbordo,3192,,066B05
2020-11-15,2020-11-15,05:05:00,105,27715,044A05_GM|044A05 - Av. Gonzalo Ariza,234,626B,504059,Transbordo,2154,,044A05
2020-11-15,2020-11-15,05:05:05,105,51284,103C04_TM|103C04_C.C. Metrï¿½is,1083,402,507113,Transbordo,4788,,103C04
2020-11-15,2020-11-15,05:05:05,105,27715,044A05_GM|044A05 - Av. Gonzalo Ariza,234,626B,504059,Transbordo,2154,,044A05
2020-11-15,2020-11-15,05:05:10,105,27712,068A05_GM|068A05 - Liceo Salomï¿½abio,538,576.,502117,Transbordo,3596,,068A05
2020-11-15,2020-11-15,05:05:14,105,27712,068A05_GM|068A05 - Liceo Salomï¿½abio,538,576.,502117,Transbordo,3596,,068A05
2020-11-15,2020-11-15,05:05:15,105,27681,070A05_GM|070A05 - Br. Sabana del Dorado Cl  63B,384,SE14,507111,Transbordo,3833,,070A05
2020-11-15,2020-11-15,05:05:18,105,27681,070A05_GM|070A05 - Br. Sabana del Dorado Cl  63B,384,SE14,507111,Transbordo,3833,,070A05
2020-11-15,2020-11-15,05:05:25,105,50852,567A12_GM|El Portal del Divino_567A12,117,674,507017,Transbordo,4192,,567A12
2020-11-15,2020-11-15,05:05:25,105,30981,032A12_GM|032A12 - Br. Barranquillita,938,614,504302,Transbordo,4067,,032A12
2020-11-15,2020-11-15,05:05:30,105,30981,032A12_GM|032A12 - Br. Barranquillita,938,614,504302,Transbordo,4067,,032A12
2020-11-15,2020-11-15,05:05:35,105,53570,146A12_TM|146A12_El Rancho y El Ranchito,1132,950,504023,Transbordo,4981,,146A12
2020-11-15,2020-11-15,05:05:36,105,44139,064B05_GM|Br Bonaire Cl 64,383,806,502116,Transbordo,3123,,064B05
2020-11-15,2020-11-15,05:05:40,105,53570,146A12_TM|146A12_El Rancho y El Ranchito,1132,950,504023,Transbordo,4981,,146A12
2020-11-15,2020-11-15,05:05:44,105,53570,146A12_TM|146A12_El Rancho y El Ranchito,1132,950,504023,Transbordo,4981,,146A12
2020-11-15,2020-11-15,05:05:46,105,52370,070B05_TM|070B05_Br. Sabana del Dorado,1103,SE10,502018,Transbordo,4885,,070B05
2020-11-15,2020-11-15,05:05:50,105,53570,146A12_TM|146A12_El Rancho y El Ranchito,1132,950,504023,Transbordo,4981,,146A12
2020-11-15,2020-11-15,05:05:52,105,49717,110B05_CE,195,C25,507066,Transbordo,4679,,110B05
